Id,Weekly_Sales
1_3_2013-06-14,19039.314471831316
1_3_2013-06-21,17246.189320406134
1_3_2013-06-28,18753.866366795068
1_3_2013-07-05,18450.833315157543
1_3_2013-07-12,17564.480460053604
1_3_2013-07-19,18627.05388433588
1_3_2013-07-26,17954.085150876876
1_4_2012-11-02,19245.00023107318
1_4_2012-11-09,20093.530390747143
1_4_2012-11-16,20773.664221745403
1_4_2012-11-23,26627.766679046
1_4_2012-11-30,18360.580554468033
1_4_2012-12-07,23794.348837609257
1_4_2012-12-14,18664.38201358013
1_4_2012-12-21,20902.374923553773
1_4_2012-12-28,18942.632786041806
1_4_2013-01-04,25395.217609827792
1_4_2013-01-11,19964.96342607299
1_4_2013-01-18,22562.60452320305
1_4_2013-01-25,18751.75659281416
1_4_2013-02-01,16052.206695795545
1_4_2013-02-08,22724.163732995752
1_4_2013-02-15,20265.157233762573
1_4_2013-02-22,20119.097789318126
1_4_2013-03-01,19628.964178172326
1_4_2013-03-08,20779.43785709035
1_4_2013-03-15,22615.99968070818
1_4_2013-03-22,20559.336254839076
1_4_2013-03-29,21679.612852414983
1_4_2013-04-05,15973.182114023735
1_4_2013-04-12,18165.175682983365
1_4_2013-04-19,19482.132318748743
1_4_2013-04-26,18603.665808652102
1_4_2013-05-03,20605.231021899195
1_4_2013-05-10,22225.233086972345
1_4_2013-05-17,15366.948298944422
1_4_2013-05-24,20545.50037592055
1_4_2013-05-31,20200.086570654836
1_4_2013-06-07,20226.18314354415
1_4_2013-06-14,19039.314471831316
1_4_2013-06-21,17246.189320406134
1_4_2013-06-28,18753.866366795068
1_4_2013-07-05,18450.833315157543
1_4_2013-07-12,17564.480460053604
1_4_2013-07-19,18627.05388433588
1_4_2013-07-26,17954.085150876876
1_5_2012-11-02,19245.00023107318
1_5_2012-11-09,20093.530390747143
1_5_2012-11-16,20773.664221745403
1_5_2012-11-23,26627.766679046
1_5_2012-11-30,18360.580554468033
1_5_2012-12-07,23794.348837609257
1_5_2012-12-14,18664.38201358013
1_5_2012-12-21,20902.374923553773
1_5_2012-12-28,18942.632786041806
1_5_2013-01-04,25395.217609827792
1_5_2013-01-11,19964.96342607299
1_5_2013-01-18,22562.60452320305
1_5_2013-01-25,18751.75659281416
1_5_2013-02-01,16052.206695795545
1_5_2013-02-08,22724.163732995752
1_5_2013-02-15,20265.157233762573
1_5_2013-02-22,20119.097789318126
1_5_2013-03-01,19628.964178172326
1_5_2013-03-08,20779.43785709035
1_5_2013-03-15,22615.99968070818
1_5_2013-03-22,20559.336254839076
1_5_2013-03-29,21679.612852414983
1_5_2013-04-05,15973.182114023735
1_5_2013-04-12,18165.175682983365
1_5_2013-04-19,19482.132318748743
1_5_2013-04-26,18603.665808652102
1_5_2013-05-03,20605.231021899195
1_5_2013-05-10,22225.233086972345
1_5_2013-05-17,15366.948298944422
1_5_2013-05-24,20545.50037592055
1_5_2013-05-31,20200.086570654836
1_5_2013-06-07,20226.18314354415
1_5_2013-06-14,19039.314471831316
1_5_2013-06-21,17246.189320406134
1_5_2013-06-28,18753.866366795068
1_5_2013-07-05,18450.833315157543
1_5_2013-07-12,17564.480460053604
1_5_2013-07-19,18627.05388433588
1_5_2013-07-26,17954.085150876876
1_6_2012-11-02,19245.00023107318
1_6_2012-11-09,20093.530390747143
1_6_2012-11-16,20773.664221745403
1_6_2012-11-23,26627.766679046
1_6_2012-11-30,18360.580554468033
1_6_2012-12-07,23794.348837609257
1_6_2012-12-14,18664.38201358013
1_6_2012-12-21,20902.374923553773
1_6_2012-12-28,18942.632786041806
1_6_2013-01-04,25395.217609827792
1_6_2013-01-11,19964.96342607299
1_6_2013-01-18,22562.60452320305
1_6_2013-01-25,18751.75659281416
1_6_2013-02-01,16052.206695795545
1_6_2013-02-08,22724.163732995752
1_6_2013-02-15,20265.157233762573
1_6_2013-02-22,20119.097789318126
1_6_2013-03-01,19628.964178172326
1_6_2013-03-08,20779.43785709035
1_6_2013-03-15,22615.99968070818
1_6_2013-03-22,20559.336254839076
1_6_2013-03-29,21679.612852414983
1_6_2013-04-05,15973.182114023735
1_6_2013-04-12,18165.175682983365
1_6_2013-04-19,19482.132318748743
1_6_2013-04-26,18603.665808652102
1_6_2013-05-03,20605.231021899195
1_6_2013-05-10,22225.233086972345
1_6_2013-05-17,15366.948298944422
1_6_2013-05-24,20545.50037592055
1_6_2013-05-31,20200.086570654836
1_6_2013-06-07,20226.18314354415
1_6_2013-06-14,19039.314471831316
1_6_2013-06-21,17246.189320406134
1_6_2013-06-28,18753.866366795068
1_6_2013-07-05,18450.833315157543
1_6_2013-07-12,17564.480460053604
1_6_2013-07-19,18627.05388433588
1_6_2013-07-26,17954.085150876876
1_7_2012-11-02,19245.00023107318
1_7_2012-11-09,20093.530390747143
1_7_2012-11-16,20773.664221745403
1_7_2012-11-23,26627.766679046
1_7_2012-11-30,18360.580554468033
1_7_2012-12-07,23794.348837609257
1_7_2012-12-14,18664.38201358013
1_7_2012-12-21,20902.374923553773
1_7_2012-12-28,18942.632786041806
1_7_2013-01-04,25395.217609827792
1_7_2013-01-11,19964.96342607299
1_7_2013-01-18,22562.60452320305
1_7_2013-01-25,18751.75659281416
1_7_2013-02-01,16052.206695795545
1_7_2013-02-08,22724.163732995752
1_7_2013-02-15,20265.157233762573
1_7_2013-02-22,20119.097789318126
1_7_2013-03-01,19628.964178172326
1_7_2013-03-08,20779.43785709035
1_7_2013-03-15,22615.99968070818
1_7_2013-03-22,20559.336254839076
1_7_2013-03-29,21679.612852414983
1_7_2013-04-05,15973.182114023735
1_7_2013-04-12,18165.175682983365
1_7_2013-04-19,19482.132318748743
1_7_2013-04-26,18603.665808652102
1_7_2013-05-03,20605.231021899195
1_7_2013-05-10,22225.233086972345
1_7_2013-05-17,15366.948298944422
1_7_2013-05-24,20545.50037592055
1_7_2013-05-31,20200.086570654836
1_7_2013-06-07,20226.18314354415
1_7_2013-06-14,19039.314471831316
1_7_2013-06-21,17246.189320406134
1_7_2013-06-28,18753.866366795068
1_7_2013-07-05,18450.833315157543
1_7_2013-07-12,17564.480460053604
1_7_2013-07-19,18627.05388433588
1_7_2013-07-26,17954.085150876876
1_8_2012-11-02,19245.00023107318
1_8_2012-11-09,20093.530390747143
1_8_2012-11-16,20773.664221745403
1_8_2012-11-23,26627.766679046
1_8_2012-11-30,18360.580554468033
1_8_2012-12-07,23794.348837609257
1_8_2012-12-14,18664.38201358013
1_8_2012-12-21,20902.374923553773
1_8_2012-12-28,18942.632786041806
1_8_2013-01-04,25395.217609827792
1_8_2013-01-11,19964.96342607299
1_8_2013-01-18,22562.60452320305
1_8_2013-01-25,18751.75659281416
1_8_2013-02-01,16052.206695795545
1_8_2013-02-08,22724.163732995752
1_8_2013-02-15,20265.157233762573
1_8_2013-02-22,20119.097789318126
1_8_2013-03-01,19628.964178172326
1_8_2013-03-08,20779.43785709035
1_8_2013-03-15,22615.99968070818
1_8_2013-03-22,20559.336254839076
1_8_2013-03-29,21679.612852414983
1_8_2013-04-05,15973.182114023735
1_8_2013-04-12,18165.175682983365
1_8_2013-04-19,19482.132318748743
1_8_2013-04-26,18603.665808652102
1_8_2013-05-03,20605.231021899195
1_8_2013-05-10,22225.233086972345
1_8_2013-05-17,15366.948298944422
1_8_2013-05-24,20545.50037592055
1_8_2013-05-31,20200.086570654836
1_8_2013-06-07,20226.18314354415
1_8_2013-06-14,19039.314471831316
1_8_2013-06-21,17246.189320406134
1_8_2013-06-28,18753.866366795068
1_8_2013-07-05,18450.833315157543
1_8_2013-07-12,17564.480460053604
1_8_2013-07-19,18627.05388433588
1_8_2013-07-26,17954.085150876876
1_9_2012-11-02,19245.00023107318
1_9_2012-11-09,20093.530390747143
1_9_2012-11-16,20773.664221745403
1_9_2012-11-23,26627.766679046
1_9_2012-11-30,18360.580554468033
1_9_2012-12-07,23794.348837609257
1_9_2012-12-14,18664.38201358013
1_9_2012-12-21,20902.374923553773
1_9_2012-12-28,18942.632786041806
1_9_2013-01-04,25395.217609827792
1_9_2013-01-11,19964.96342607299
1_9_2013-01-18,22562.60452320305
1_9_2013-01-25,18751.75659281416
1_9_2013-02-01,16052.206695795545
1_9_2013-02-08,22724.163732995752
1_9_2013-02-15,20265.157233762573
1_9_2013-02-22,20119.097789318126
1_9_2013-03-01,19628.964178172326
1_9_2013-03-08,20779.43785709035
1_9_2013-03-15,22615.99968070818
1_9_2013-03-22,20559.336254839076
1_9_2013-03-29,21679.612852414983
1_9_2013-04-05,15973.182114023735
1_9_2013-04-12,18165.175682983365
1_9_2013-04-19,19482.132318748743
1_9_2013-04-26,18603.665808652102
1_9_2013-05-03,20605.231021899195
1_9_2013-05-10,22225.233086972345
1_9_2013-05-17,15366.948298944422
1_9_2013-05-24,20545.50037592055
1_9_2013-05-31,20200.086570654836
1_9_2013-06-07,20226.18314354415
1_9_2013-06-14,19039.314471831316
1_9_2013-06-21,17246.189320406134
1_9_2013-06-28,18753.866366795068
1_9_2013-07-05,18450.833315157543
1_9_2013-07-12,17564.480460053604
1_9_2013-07-19,18627.05388433588
1_9_2013-07-26,17954.085150876876
1_10_2012-11-02,19245.00023107318
1_10_2012-11-09,20093.530390747143
1_10_2012-11-16,20773.664221745403
1_10_2012-11-23,26627.766679046
1_10_2012-11-30,18360.580554468033
1_10_2012-12-07,23794.348837609257
1_10_2012-12-14,18664.38201358013
1_10_2012-12-21,20902.374923553773
1_10_2012-12-28,18942.632786041806
1_10_2013-01-04,25395.217609827792
1_10_2013-01-11,19964.96342607299
1_10_2013-01-18,22562.60452320305
1_10_2013-01-25,18751.75659281416
1_10_2013-02-01,16052.206695795545
1_10_2013-02-08,22724.163732995752
1_10_2013-02-15,20265.157233762573
1_10_2013-02-22,20119.097789318126
1_10_2013-03-01,19628.964178172326
1_10_2013-03-08,20779.43785709035
1_10_2013-03-15,22615.99968070818
1_10_2013-03-22,20559.336254839076
1_10_2013-03-29,21679.612852414983
1_10_2013-04-05,15973.182114023735
1_10_2013-04-12,18165.175682983365
1_10_2013-04-19,19482.132318748743
1_10_2013-04-26,18603.665808652102
1_10_2013-05-03,20605.231021899195
1_10_2013-05-10,22225.233086972345
1_10_2013-05-17,15366.948298944422
1_10_2013-05-24,20545.50037592055
1_10_2013-05-31,20200.086570654836
1_10_2013-06-07,20226.18314354415
1_10_2013-06-14,19039.314471831316
1_10_2013-06-21,17246.189320406134
1_10_2013-06-28,18753.866366795068
1_10_2013-07-05,18450.833315157543
1_10_2013-07-12,17564.480460053604
1_10_2013-07-19,18627.05388433588
1_10_2013-07-26,17954.085150876876
1_11_2012-11-02,19245.00023107318
1_11_2012-11-09,20093.530390747143
1_11_2012-11-16,20773.664221745403
1_11_2012-11-23,26627.766679046
1_11_2012-11-30,18360.580554468033
1_11_2012-12-07,23794.348837609257
1_11_2012-12-14,18664.38201358013
1_11_2012-12-21,20902.374923553773
1_11_2012-12-28,18942.632786041806
1_11_2013-01-04,25395.217609827792
1_11_2013-01-11,19964.96342607299
1_11_2013-01-18,22562.60452320305
1_11_2013-01-25,18751.75659281416
1_11_2013-02-01,16052.206695795545
1_11_2013-02-08,22724.163732995752
1_11_2013-02-15,20265.157233762573
1_11_2013-02-22,20119.097789318126
1_11_2013-03-01,19628.964178172326
1_11_2013-03-08,20779.43785709035
1_11_2013-03-15,22615.99968070818
1_11_2013-03-22,20559.336254839076
1_11_2013-03-29,21679.612852414983
1_11_2013-04-05,15973.182114023735
1_11_2013-04-12,18165.175682983365
1_11_2013-04-19,19482.132318748743
1_11_2013-04-26,18603.665808652102
1_11_2013-05-03,20605.231021899195
1_11_2013-05-10,22225.233086972345
1_11_2013-05-17,15366.948298944422
1_11_2013-05-24,20545.50037592055
1_11_2013-05-31,20200.086570654836
1_11_2013-06-07,20226.18314354415
1_11_2013-06-14,19039.314471831316
1_11_2013-06-21,17246.189320406134
1_11_2013-06-28,18753.866366795068
1_11_2013-07-05,18450.833315157543
1_11_2013-07-12,17564.480460053604
1_11_2013-07-19,18627.05388433588
1_11_2013-07-26,17954.085150876876
1_12_2012-11-02,19245.00023107318
1_12_2012-11-09,20093.530390747143
1_12_2012-11-16,20773.664221745403
1_12_2012-11-23,26627.766679046
1_12_2012-11-30,18360.580554468033
1_12_2012-12-07,23794.348837609257
1_12_2012-12-14,18664.38201358013
1_12_2012-12-21,20902.374923553773
1_12_2012-12-28,18942.632786041806
1_12_2013-01-04,25395.217609827792
1_12_2013-01-11,19964.96342607299
1_12_2013-01-18,22562.60452320305
1_12_2013-01-25,18751.75659281416
1_12_2013-02-01,16052.206695795545
1_12_2013-02-08,22724.163732995752
1_12_2013-02-15,20265.157233762573
1_12_2013-02-22,20119.097789318126
1_12_2013-03-01,19628.964178172326
1_12_2013-03-08,20779.43785709035
1_12_2013-03-15,22615.99968070818
1_12_2013-03-22,20559.336254839076
1_12_2013-03-29,21679.612852414983
1_12_2013-04-05,15973.182114023735
1_12_2013-04-12,18165.175682983365
1_12_2013-04-19,19482.132318748743
1_12_2013-04-26,18603.665808652102
1_12_2013-05-03,20605.231021899195
1_12_2013-05-10,22225.233086972345
1_12_2013-05-17,15366.948298944422
1_12_2013-05-24,20545.50037592055
1_12_2013-05-31,20200.086570654836
1_12_2013-06-07,20226.18314354415
1_12_2013-06-14,19039.314471831316
1_12_2013-06-21,17246.189320406134
1_12_2013-06-28,18753.866366795068
1_12_2013-07-05,18450.833315157543
1_12_2013-07-12,17564.480460053604
1_12_2013-07-19,18627.05388433588
1_12_2013-07-26,17954.085150876876
1_13_2012-11-02,19245.00023107318
1_13_2012-11-09,20093.530390747143
1_13_2012-11-16,20773.664221745403
1_13_2012-11-23,26627.766679046
1_13_2012-11-30,18360.580554468033
1_13_2012-12-07,23794.348837609257
1_13_2012-12-14,18664.38201358013
1_13_2012-12-21,20902.374923553773
1_13_2012-12-28,18942.632786041806
1_13_2013-01-04,25395.217609827792
1_13_2013-01-11,19964.96342607299
1_13_2013-01-18,22562.60452320305
1_13_2013-01-25,18751.75659281416
1_13_2013-02-01,16052.206695795545
1_13_2013-02-08,22724.163732995752
1_13_2013-02-15,20265.157233762573
1_13_2013-02-22,20119.097789318126
1_13_2013-03-01,19628.964178172326
1_13_2013-03-08,20779.43785709035
1_13_2013-03-15,22615.99968070818
1_13_2013-03-22,20559.336254839076
1_13_2013-03-29,21679.612852414983
1_13_2013-04-05,15973.182114023735
1_13_2013-04-12,18165.175682983365
1_13_2013-04-19,19482.132318748743
1_13_2013-04-26,18603.665808652102
1_13_2013-05-03,20605.231021899195
1_13_2013-05-10,22225.233086972345
1_13_2013-05-17,15366.948298944422
1_13_2013-05-24,20545.50037592055
1_13_2013-05-31,20200.086570654836
1_13_2013-06-07,20226.18314354415
1_13_2013-06-14,19039.314471831316
1_13_2013-06-21,17246.189320406134
1_13_2013-06-28,18753.866366795068
1_13_2013-07-05,18450.833315157543
1_13_2013-07-12,17564.480460053604
1_13_2013-07-19,18627.05388433588
1_13_2013-07-26,17954.085150876876
1_14_2012-11-02,19245.00023107318
1_14_2012-11-09,20093.530390747143
1_14_2012-11-16,20773.664221745403
1_14_2012-11-23,26627.766679046
1_14_2012-11-30,18360.580554468033
1_14_2012-12-07,23794.348837609257
1_14_2012-12-14,18664.38201358013
1_14_2012-12-21,20902.374923553773
1_14_2012-12-28,18942.632786041806
1_14_2013-01-04,25395.217609827792
1_14_2013-01-11,19964.96342607299
1_14_2013-01-18,22562.60452320305
1_14_2013-01-25,18751.75659281416
1_14_2013-02-01,16052.206695795545
1_14_2013-02-08,22724.163732995752
1_14_2013-02-15,20265.157233762573
1_14_2013-02-22,20119.097789318126
1_14_2013-03-01,19628.964178172326
1_14_2013-03-08,20779.43785709035
1_14_2013-03-15,22615.99968070818
1_14_2013-03-22,20559.336254839076
1_14_2013-03-29,21679.612852414983
1_14_2013-04-05,15973.182114023735
1_14_2013-04-12,18165.175682983365
1_14_2013-04-19,19482.132318748743
1_14_2013-04-26,18603.665808652102
1_14_2013-05-03,20605.231021899195
1_14_2013-05-10,22225.233086972345
1_14_2013-05-17,15366.948298944422
1_14_2013-05-24,20545.50037592055
1_14_2013-05-31,20200.086570654836
1_14_2013-06-07,20226.18314354415
1_14_2013-06-14,19039.314471831316
1_14_2013-06-21,17246.189320406134
1_14_2013-06-28,18753.866366795068
1_14_2013-07-05,18450.833315157543
1_14_2013-07-12,17564.480460053604
1_14_2013-07-19,18627.05388433588
1_14_2013-07-26,17954.085150876876
1_16_2012-11-02,19245.00023107318
1_16_2012-11-09,20093.530390747143
1_16_2012-11-16,20773.664221745403
1_16_2012-11-23,26627.766679046
1_16_2012-11-30,18360.580554468033
1_16_2012-12-07,23794.348837609257
1_16_2012-12-14,18664.38201358013
1_16_2012-12-21,20902.374923553773
1_16_2012-12-28,18942.632786041806
1_16_2013-01-04,25395.217609827792
1_16_2013-01-11,19964.96342607299
1_16_2013-01-18,22562.60452320305
1_16_2013-01-25,18751.75659281416
1_16_2013-02-01,16052.206695795545
1_16_2013-02-08,22724.163732995752
1_16_2013-02-15,20265.157233762573
1_16_2013-02-22,20119.097789318126
1_16_2013-03-01,19628.964178172326
1_16_2013-03-08,20779.43785709035
1_16_2013-03-15,22615.99968070818
1_16_2013-03-22,20559.336254839076
1_16_2013-03-29,21679.612852414983
1_16_2013-04-05,15973.182114023735
1_16_2013-04-12,18165.175682983365
1_16_2013-04-19,19482.132318748743
1_16_2013-04-26,18603.665808652102
1_16_2013-05-03,20605.231021899195
1_16_2013-05-10,22225.233086972345
1_16_2013-05-17,15366.948298944422
1_16_2013-05-24,20545.50037592055
1_16_2013-05-31,20200.086570654836
1_16_2013-06-07,20226.18314354415
1_16_2013-06-14,19039.314471831316
1_16_2013-06-21,17246.189320406134
1_16_2013-06-28,18753.866366795068
1_16_2013-07-05,18450.833315157543
1_16_2013-07-12,17564.480460053604
1_16_2013-07-19,18627.05388433588
1_16_2013-07-26,17954.085150876876
1_17_2012-11-02,19245.00023107318
1_17_2012-11-09,20093.530390747143
1_17_2012-11-16,20773.664221745403
1_17_2012-11-23,26627.766679046
1_17_2012-11-30,18360.580554468033
1_17_2012-12-07,23794.348837609257
1_17_2012-12-14,18664.38201358013
1_17_2012-12-21,20902.374923553773
1_17_2012-12-28,18942.632786041806
1_17_2013-01-04,25395.217609827792
1_17_2013-01-11,19964.96342607299
1_17_2013-01-18,22562.60452320305
1_17_2013-01-25,18751.75659281416
1_17_2013-02-01,16052.206695795545
1_17_2013-02-08,22724.163732995752
1_17_2013-02-15,20265.157233762573
1_17_2013-02-22,20119.097789318126
1_17_2013-03-01,19628.964178172326
1_17_2013-03-08,20779.43785709035
1_17_2013-03-15,22615.99968070818
1_17_2013-03-22,20559.336254839076
1_17_2013-03-29,21679.612852414983
1_17_2013-04-05,15973.182114023735
1_17_2013-04-12,18165.175682983365
1_17_2013-04-19,19482.132318748743
1_17_2013-04-26,18603.665808652102
1_17_2013-05-03,20605.231021899195
1_17_2013-05-10,22225.233086972345
1_17_2013-05-17,15366.948298944422
1_17_2013-05-24,20545.50037592055
1_17_2013-05-31,20200.086570654836
1_17_2013-06-07,20226.18314354415
1_17_2013-06-14,19039.314471831316
1_17_2013-06-21,17246.189320406134
1_17_2013-06-28,18753.866366795068
1_17_2013-07-05,18450.833315157543
1_17_2013-07-12,17564.480460053604
1_17_2013-07-19,18627.05388433588
1_17_2013-07-26,17954.085150876876
1_18_2012-11-02,19245.00023107318
1_18_2012-11-09,20093.530390747143
1_18_2012-11-16,20773.664221745403
1_18_2012-11-23,26627.766679046
1_18_2012-11-30,18360.580554468033
1_18_2012-12-07,23794.348837609257
1_18_2012-12-14,18664.38201358013
1_18_2012-12-21,20902.374923553773
1_18_2012-12-28,18942.632786041806
1_18_2013-01-04,25395.217609827792
1_18_2013-01-11,19964.96342607299
1_18_2013-01-18,22562.60452320305
1_18_2013-01-25,18751.75659281416
1_18_2013-02-01,16052.206695795545
1_18_2013-02-08,22724.163732995752
1_18_2013-02-15,20265.157233762573
1_18_2013-02-22,20119.097789318126
1_18_2013-03-01,19628.964178172326
1_18_2013-03-08,20779.43785709035
1_18_2013-03-15,22615.99968070818
1_18_2013-03-22,20559.336254839076
1_18_2013-03-29,21679.612852414983
1_18_2013-04-05,15973.182114023735
1_18_2013-04-12,18165.175682983365
1_18_2013-04-19,19482.132318748743
1_18_2013-04-26,18603.665808652102
1_18_2013-05-03,20605.231021899195
1_18_2013-05-10,22225.233086972345
1_18_2013-05-17,15366.948298944422
1_18_2013-05-24,20545.50037592055
1_18_2013-06-07,20226.18314354415
1_18_2013-07-05,18450.833315157543
1_19_2012-11-02,19245.00023107318
1_19_2012-11-09,20093.530390747143
1_19_2012-11-16,20773.664221745403
1_19_2012-11-23,26627.766679046
1_19_2012-11-30,18360.580554468033
1_19_2012-12-07,23794.348837609257
1_19_2012-12-14,18664.38201358013
1_19_2012-12-21,20902.374923553773
1_19_2012-12-28,18942.632786041806
1_19_2013-01-04,25395.217609827792
1_19_2013-01-11,19964.96342607299
1_19_2013-01-18,22562.60452320305
1_19_2013-01-25,18751.75659281416
1_19_2013-02-01,16052.206695795545
1_19_2013-02-08,22724.163732995752
1_19_2013-02-15,20265.157233762573
1_19_2013-02-22,20119.097789318126
1_19_2013-03-01,19628.964178172326
1_19_2013-03-08,20779.43785709035
1_19_2013-03-15,22615.99968070818
1_19_2013-03-22,20559.336254839076
1_19_2013-03-29,21679.612852414983
1_19_2013-04-05,15973.182114023735
1_19_2013-04-12,18165.175682983365
1_19_2013-04-19,19482.132318748743
1_19_2013-04-26,18603.665808652102
1_19_2013-05-03,20605.231021899195
1_19_2013-05-10,22225.233086972345
1_19_2013-05-17,15366.948298944422
1_19_2013-05-24,20545.50037592055
1_19_2013-05-31,20200.086570654836
1_19_2013-06-07,20226.18314354415
1_19_2013-06-14,19039.314471831316
1_19_2013-06-21,17246.189320406134
1_19_2013-06-28,18753.866366795068
1_19_2013-07-05,18450.833315157543
1_19_2013-07-12,17564.480460053604
1_19_2013-07-19,18627.05388433588
1_19_2013-07-26,17954.085150876876
1_20_2012-11-02,19245.00023107318
1_20_2012-11-09,20093.530390747143
1_20_2012-11-16,20773.664221745403
1_20_2012-11-23,26627.766679046
1_20_2012-11-30,18360.580554468033
1_20_2012-12-07,23794.348837609257
1_20_2012-12-14,18664.38201358013
1_20_2012-12-21,20902.374923553773
1_20_2012-12-28,18942.632786041806
1_20_2013-01-04,25395.217609827792
1_20_2013-01-11,19964.96342607299
1_20_2013-01-18,22562.60452320305
1_20_2013-01-25,18751.75659281416
1_20_2013-02-01,16052.206695795545
1_20_2013-02-08,22724.163732995752
1_20_2013-02-15,20265.157233762573
1_20_2013-02-22,20119.097789318126
1_20_2013-03-01,19628.964178172326
1_20_2013-03-08,20779.43785709035
1_20_2013-03-15,22615.99968070818
1_20_2013-03-22,20559.336254839076
1_20_2013-03-29,21679.612852414983
1_20_2013-04-05,15973.182114023735
1_20_2013-04-12,18165.175682983365
1_20_2013-04-19,19482.132318748743
1_20_2013-04-26,18603.665808652102
1_20_2013-05-03,20605.231021899195
1_20_2013-05-10,22225.233086972345
1_20_2013-05-17,15366.948298944422
1_20_2013-05-24,20545.50037592055
1_20_2013-05-31,20200.086570654836
1_20_2013-06-07,20226.18314354415
1_20_2013-06-14,19039.314471831316
1_20_2013-06-21,17246.189320406134
1_20_2013-06-28,18753.866366795068
1_20_2013-07-05,18450.833315157543
1_20_2013-07-12,17564.480460053604
1_20_2013-07-19,18627.05388433588
1_20_2013-07-26,17954.085150876876
1_21_2012-11-02,19245.00023107318
1_21_2012-11-09,20093.530390747143
